,bio,followers,following,following_back,highlight_count,mutual,post_count,private,recently_joined,username,verified
samkeim,gcsu ‘23,731,725,1,0,230,10,True,False,samkeim,False
brooksbryant,"Mississippi State PGM
@msubarstool",977,915,1,0,219,13,False,False,brooksbryant,False
fisher_rossman,AU’23,851,750,1,1,191,11,False,False,fisher_rossman,False
jack_powers35,Passion takes patients GCSU’23,368,360,1,0,150,6,False,False,jack_powers35,False
michael_washburne,snap: moosew_3,409,395,1,0,180,1,False,False,michael_washburne,False
camcochran9,Reinhardt university lacrosse #1 Romans 8:18.,917,337,1,0,167,13,True,False,camcochran9,False
ncschenken,UGA ‘23,331,214,1,0,164,2,True,False,ncschenken,False
jcwashburne,,23,21,1,0,15,0,True,False,jcwashburne,False
allu.phi,Pure yoy gcsu,992,871,1,4,111,16,True,False,allu.phi,False
shelbystockk,UTK! XO! ACTS 20:24!,1779,1094,1,8,218,235,False,False,shelbystockk,False
gramclaud,,199,327,1,0,16,2215,True,False,gramclaud,False
jackson.mcgill,FCS Class of 2020                                          GT 2024,197,288,1,0,66,13,True,False,jackson.mcgill,False
skylarbh13,"SC: skylarbh_13
GCSU 22 ATΩ",378,362,1,0,72,43,True,False,skylarbh13,False
anderson_reedy,GT ‘23,409,634,1,4,109,126,False,False,anderson_reedy,False
carokeim,AUBURN AΔΠ ☺�,2634,1273,1,7,179,367,False,False,carokeim,False
_he_shoots_andy_scores_,get it... it's a sports pun cuz I definitely play those,67,75,1,1,19,154,True,False,_he_shoots_andy_scores_,False
riley.burke21,Clemson University ‘23,825,601,1,0,18,24,True,False,riley.burke21,False
livrickheim,"Salt Model & Talent ATL                               
@saltmodel @madeleinealmering",3500,327,1,3,162,88,False,False,livrickheim,False
patti4546,,165,436,1,0,11,128,True,False,patti4546,False
madisonwilsonn,clemson ��,904,672,1,0,21,83,True,False,madisonwilsonn,False
julian2036,"CSCS Performance Coach & Trainer @ SFXFitness in Roswell, GA, Pn1 Certified Nutrition Coach & Freeze Sleeve Distributor
julian@sfxfitness.com for info",576,627,1,1,7,764,False,False,julian2036,False
zroyvis,"I am a retired advertising photographer.
Living the dream of living on a lake.",348,574,1,0,14,71,False,False,zroyvis,False
i_cant_reed__,Buddy I’m the dragon warrior,137,277,1,0,35,320,True,False,i_cant_reed__,False
davidrenfrow,UGA ‘23,947,622,1,0,202,14,False,False,davidrenfrow,False
edwardstorey_,"computer & media enthusiast • ��/��
gt ‘23 � • ΑΣΦ
�������������
~ sc: edwardstorey",294,440,1,0,80,32,True,False,edwardstorey_,False
dawson.carey,UTK ‘23�| John 16:33| Snap: dawsonc8,424,422,1,0,142,11,False,False,dawson.carey,False
zdschenken,,767,673,1,0,111,12,False,False,zdschenken,False
bo_wynn,Renaissance man,665,621,1,0,38,11,True,False,bo_wynn,False
jgsmith0522,Married.Mom.Lifeisgood.,158,233,1,0,9,1015,True,False,jgsmith0522,False
reedbott8,The Citadel 23’,784,499,1,2,190,14,True,False,reedbott8,False
codydturner,I know this sticker is inconvenient but I do love fig newtons,1305,1507,1,0,13,132,True,False,codydturner,False
thebradymoore,"“I know what I’m about, son” �",361,885,1,0,65,2038,True,False,thebradymoore,False
williamkreikemeier,,321,465,1,0,119,7,False,False,williamkreikemeier,False
emmmm.ily,"Humble, with just a hint of Kanye",148,438,1,1,10,111,True,False,emmmm.ily,False
edkrajsky,,271,318,1,0,3,62,True,False,edkrajsky,False
ellie.jacksonnn,,937,818,1,7,164,118,False,False,ellie.jacksonnn,False
cassidytardif,FCS /// sc: cassie_tardif,632,795,1,3,114,77,False,False,cassidytardif,False
alan_swavely,SC: a-sway • CU ‘23 • ρρρ,573,511,1,0,56,49,False,False,alan_swavely,False
catestroud,||ATL|| live a little and always yell go dawgs!!,1112,1063,1,6,155,81,False,False,catestroud,False
skeater_bug_44,"I love hockey, lacrosse, music, and hanging out with my friends",358,777,1,0,8,39,True,False,skeater_bug_44,False
bennett.mckinney,Cruising through spatial existence and surfing cosmic rays. ������☄���,187,201,1,2,51,1024,True,False,bennett.mckinney,False
drakevahey,Kentucky '20 // ΘΧ,620,624,1,0,47,38,True,False,drakevahey,False
jeubanks_55,"FCS ‘19   UTK ‘23
Go Vols!
� �‍♂� �",773,1447,1,0,150,32,True,False,jeubanks_55,False
g_mo_27,,378,1108,1,0,74,12,True,False,g_mo_27,False
sergio_fas,Don't let your life be set by other people's boundaries,277,230,1,0,108,7,False,False,sergio_fas,False
dianarossman1997,"Mom to Fisher,Pierce and Prescott.Wife of Scott. Follower of Jesus!",454,502,1,0,31,427,True,False,dianarossman1997,False
cmcclung_78,GEAUX TIGERS,727,527,1,0,139,8,True,False,cmcclung_78,False
willcovington9,Clemson 22’ || Fiji,543,676,1,0,18,7,True,False,willcovington9,False
marylizcov,,974,827,1,1,17,31,False,False,marylizcov,False
chasecochran,Samford Sports Digital and Creative media. Love what I do so it's not really working,193,246,1,0,20,30,False,False,chasecochran,False
reidrobinson__,Mark 12:30-31,1113,1835,1,0,201,20,True,False,reidrobinson__,False
s.i.mcfarland,Georgia Tech,1159,1046,1,0,16,6,True,False,s.i.mcfarland,False
simibhop,���,336,366,1,0,50,14,True,False,simibhop,False
ethan_risley,,319,288,1,0,38,66,False,False,ethan_risley,False
jdsmith4891,,482,2183,1,0,12,159,True,False,jdsmith4891,False
ford.hardwick,LSU | ΑΓΡ,872,828,1,0,115,6,False,False,ford.hardwick,False
stayingchipper,,344,483,1,0,18,101,True,False,stayingchipper,False
louden_hickman,,318,456,1,0,29,9,True,False,louden_hickman,False
thelansdenschmidt,,852,666,1,1,63,41,False,False,thelansdenschmidt,False
medictent_,"The doctor will be with you shortly, please take a seat",478,476,1,0,3,7,False,False,medictent_,False
katelyngbond,uga ♥ zta,1136,1232,1,6,119,159,True,False,katelyngbond,False
stevio_does_memeios,A Picture With No Ankles.... How Fitting,69,77,1,0,43,17,False,False,stevio_does_memeios,False
aminkert44,Just living my best life. iSEX! Follower of Jesus. Love my family. 21’ yrs old�. UGA 2021. GO DAWGS�!  MAGA�� #Trump2020,224,470,1,3,48,7,False,False,aminkert44,False
masonr54,Isaiah 40:31 /// UTC 2022 � /// BYX ���,650,729,1,0,138,184,True,False,masonr54,False
ethan_bensman,tic-tac-toe savant,711,692,1,0,5,15,True,False,ethan_bensman,False
aheffner24,"-KSU Alum.�
-Woodstock, GA�",1278,656,1,0,3,139,False,False,aheffner24,False
alexmcfarland12,Georgia | Clemson,863,834,1,0,27,27,True,False,alexmcfarland12,False
abidegatherings,"Abide is a gathering of people connecting, remaining, dwelling and continuing in who God is and who we are to God.",126,357,1,0,13,198,False,False,abidegatherings,False
emily._.armstrong,"YL 
SNC ‘23
|SC: emily9876545|",1069,1507,1,4,14,19,False,False,emily._.armstrong,False
benharris_13,"John 16:33
UGA Baseball '22",604,444,1,0,29,2,True,False,benharris_13,False
max.karetny,FCS 2020,340,593,1,0,108,19,True,False,max.karetny,False
jseidler99,�UMD '21�| �� | Maryland |                          @medictent_,820,833,1,2,5,102,True,False,jseidler99,False
tsmatthesen,GA | Clemson '20,612,601,1,0,46,41,True,False,tsmatthesen,False
mattycurtis08,Zz,1266,1369,1,1,22,109,False,False,mattycurtis08,False
michael_schenken,,340,472,1,0,161,3,True,False,michael_schenken,False
holdenmcclung,,119,344,1,0,34,0,True,False,holdenmcclung,False
jbenjaminward,,510,561,1,7,70,25,True,False,jbenjaminward,False
double.crewed.up.on.a.thursday,"ρρρ
Not the meme account we deserved, but the meme account we needed",76,72,1,0,49,6,False,False,double.crewed.up.on.a.thursday,False
dillon_olsen1,1 Samuel 16:7 // Clemson ‘23�,1558,1534,1,2,61,18,True,False,dillon_olsen1,False
hollislayton,"family traitor ‘24
hug enthusiast ☆ nap activist ☆ water connoisseur",1011,1153,1,7,178,69,False,False,hollislayton,False
ismith_38,clemson,711,746,1,0,24,21,False,False,ismith_38,False
bnix_8,"Love Naps. Stay Woke.
CU ‘23 �",697,844,1,0,21,44,True,False,bnix_8,False
elizaguthrie21,sc:elizaguthrie21,758,727,1,1,158,30,True,False,elizaguthrie21,False
trevor.i.lewis,���,802,491,1,0,133,7,False,False,trevor.i.lewis,False
fowlerstephens,"showmewherethebiblesaythoushallnotball
gasouthern'23",848,539,1,0,92,44,False,False,fowlerstephens,False
johnalexander.6,Ole miss ‘23,578,566,1,0,16,6,True,False,johnalexander.6,False
douglas.davidson,"Joshua 1:9
Clemson | FIJI",1939,1015,1,0,42,227,False,False,douglas.davidson,False
goduke1015,�,750,1610,1,0,107,28,True,False,goduke1015,False
canthannelme,,87,59,1,2,11,6,False,False,canthannelme,False
kyle_maney,"Ole Miss ΣΧ / Roswell, GA",1696,1411,1,0,150,8,True,False,kyle_maney,False
m_stroodle,Clemson Crew '20,884,881,1,0,55,164,True,False,m_stroodle,False
cjaxson123,,449,392,1,3,128,20,False,False,cjaxson123,False
w.stax1,God Bless and Go Eagles                             Sc:stax.will,1776,1590,1,5,36,33,False,False,w.stax1,False
billrowse,,180,588,1,1,7,98,True,False,billrowse,False
joegit4,ΒΘΠ | Clemson Lacrosse,868,996,1,0,17,17,True,False,joegit4,False
tiffany.tacquard,10/6/18� @austinmichael123_ �,990,787,1,18,48,26,True,False,tiffany.tacquard,False
mitchell___robinson,Clemson,1037,1023,1,0,25,51,True,False,mitchell___robinson,False
jtilinski,KSU,321,440,1,0,150,2,True,False,jtilinski,False
gayewashburne,,173,210,1,0,52,120,True,False,gayewashburne,False
parkeraddison1,FSU ‘23,474,467,1,0,172,1,True,False,parkeraddison1,False
drewlandefeld,"Atlanta, GA• Varsity Rower • Clemson Class of ‘23 Pre-Med/Microbiology",166,190,1,0,45,33,True,False,drewlandefeld,False
billy_mccurry,@dryscoopingonly ���,696,601,1,0,142,5,True,False,billy_mccurry,False
willrpaulus,Cambridge ‘21 | Georgia Jackets Baseball,634,627,1,0,40,6,True,False,willrpaulus,False
rachelevaaa,"utc ‘23 || ATL
girl almighty",817,970,1,7,37,130,True,False,rachelevaaa,False
lilliewardd,,920,778,1,0,186,33,False,False,lilliewardd,False
avery.hickman,auburn ‘23 // chi o,1753,1915,1,0,197,253,False,False,avery.hickman,False
jacobkenfield,"Johns Creek, GA. Clemson ‘23",1155,943,1,0,33,29,True,False,jacobkenfield,False
grahamolmsted22,sc-golmsted1,824,616,1,0,20,14,True,False,grahamolmsted22,False
eli_2262,,621,771,1,0,164,7,True,False,eli_2262,False
camerongill27,Be great where your feet are. Wofford Baseball ‘23. Romans 1:16,1112,1803,1,0,236,64,True,False,camerongill27,False
laura_a_manning_,"Fort Mill, SC 
Clemson ‘22 CSM",345,399,1,0,58,9,True,False,laura_a_manning_,False
miles195,Clemson. Civil Engineering. ΦΜΑ.,613,860,1,0,35,120,False,False,miles195,False
r__stax,Milton xx IMG,1677,1748,1,16,15,0,True,False,r__stax,False
